,,,,,,,"CLIENTE:","=$CAPA.G27",,,," PROJETO:","=$CAPA.A31",,,"VERIFICADO:","ALEXANDRE MANDUCA",
,,,,,,,,,,,,,,,,"APROVADO:","GIANCARLO BORGES AVELAR",
,,,,,,,"TÍTULO:","LISTA DE INSTRUMENTO 
MOAGEM DE CIMENTO Z2",,,,"Nº. CLIENTE:","=$CAPA.J38",,,"FOLHA:","REVISÃO:","=$CAPA.Q24"
,,,,,,,,,,,,"Nº. SM&A:","=$CAPA.K19",,,," DATA: ","=$CAPA.K24"
"ITEM","TAG VC","TAG SINOMA","EQUIPAMENTO","FUNÇÃO","INSTRUMENTO","TIPO DE SINAL","RANGE 
MÍNIMO","RANGE MÁXIMO","FABRICANTE","MODELO","QTY","FORNECEDOR","PAINEL PARA INTERLIGAÇÃO","MATERIAL PARA MONTAGEM","FOLHA DE DADOS","COMENTÁRIOS",,"REV."
1,"Z2J08LSH","-","REGUEIRA DE SAÍDA DO MOINHO - Z2J08","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-107","-",,1
"=A6+1","Z2J10LSH","571BE01.LS1"," ELEVADOR DE CANECAS - Z2J10","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","-","-","E+H","FTE20-AA11AA31",1,"SINOMA","Z2RM5","-","-","-",,1
"=A7+1","Z2J10M2SE","571BE01.M2.SS1"," ELEVADOR DE CANECAS - Z2J10","SENSOR DO MOTOR AUXILIAR 
VIGIA DE VELOCIDADE","SENSOR INDUTIVO NAMUR","120Vca","-","-","IFM","IG5497+ECV004
DD0203",1,"SINOMA","Z2RM5","-","-","-",,1
"=A8+1","Z2J10SE1","571BE01.SS1","ELEVADOR DE CANECAS - Z2J10","SENSOR 1 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider"," XSAV11801",1,"SINOMA","Z2RM5","-","-","-",,1
"=A9+1","Z2J10SE1CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A10+1","Z2J10SE2","-"," ELEVADOR DE CANECAS - Z2J10","SENSOR 2 - PÉ DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-103","-",,1
"=A11+1","Z2J10SE2CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A12+1","Z2J10SE3","-"," ELEVADOR DE CANECAS - Z2J10","SENSOR - TOPO DO ELEVADOR
VIGIA DE VELOCIDADE","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-103","-",,1
"=A13+1","Z2J10SE3CX","-"," ELEVADOR DE CANECAS - Z2J10","CAIXA DE PROTEÇÃO PARA VIGIA DE VELOCIDADE","-","-","-","-","-","CX. Padrão Vigia de Velocidade com anteparo de 2 Aletas (30 a 60 rpm)",1,"VOTORANTIM","-","VCM-0828 IT 02 + VCM-0830","Código de Compra VC: 491550","COMPRAR CONFORME MODELO VOTORANTIM INFORMADO NA COLUNA FOLHA DE DADOS",,1
"=A14+1","Z2J10TSH","571BE01.TS1"," ELEVADOR DE CANECAS - Z2J10","TEMPERATURA ÓLEO ACOPLAMENTO ELEVADOR Z2J10","SENSOR TEMPERATURA","120Vca","-","-","Schneider","XCMD2102L1",1,"SINOMA","Z2RM5","-","-","-",,1
"=A15+1","Z2J10XT1","-"," ELEVADOR DE CANECAS - Z2J10","VIBRAÇÃO DO MANCAL DO MOTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-106","-",,1
"=A16+1","Z2J10XT2","-"," ELEVADOR DE CANECAS - Z2J10","VIBRAÇÃO DO MANCAL DO REDUTOR","TRANSMISSOR DE VIBRAÇÃO","4-20 mA","0 mm/s","25 mm/s","IFM","VTV122",1,"VOTORANTIM","Z2RM5","-","ED-I-Z2000-106","-",,1
"=A17+1","Z2J10ZSH1","571BE01.XS1"," ELEVADOR DE CANECAS - Z2J10","ESTICAMENTO NO PÉ ","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM5","-","-","-",,5
"=A18+1","Z2J10ZSH2","571BE01.XS1"," ELEVADOR DE CANECAS - Z2J10","ESTICAMENTO NO TOPO","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","Schneider","XS630B1MAL2",1,"SINOMA","Z2RM5","-","-","-",,5
"=A19+1","Z2J10M1TE1","571BE01.M1.TS1","TEMPERATURA FASE R - Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A20+1","Z2J10M1TE2","571BE01.M1.TS2","TEMPERATURA FASE S - Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A21+1","Z2J10M1TE3","571BE01.M1.TS3","TEMPERATURA FASE T- Z2J10","Motor Winding Temperature",,"PT100",,,"SIEMENS","PENDENTE SINOMA",1,"SINOMA","Z2RM5","-","-","-",,5
"=A22+1","Z2J11LSH","-","REGUEIRA DE SAÍDA DO ELEVADOR DE CANECAS - Z2J11","NÍVEL ALTO","CHAVE DE NÍVEL","120Vca","150mm","300mm","VEGA","VEGAVIB63",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-107","-",,1
"=A23+1","Z2J16ZSH","-","VÁLVULA DUPLO FLAP - Z2J16","ABERTO SUPERIOR","SENSOR INDUTIVO DE PROXIMIDADE","120Vca","-","-","TELEMECANIQUE","XS1M30MB250",1,"VOTORANTIM","Z2RM7","-","ED-I-Z2000-103","-",,1
